Brawler,Rarity,Class,Voice actor,Movement speed,Attack Range,Reload,Attack spread,Super Range,Projectiles per Super,Projectile speed,Projectiles per attack,Attack width,Attack projectile speed,Thorny grenade range,Health_11,Previous Brawler,Next Brawler,Gadget_1_Name,Gadget_1_Cooldown,Gadget_2_Name,Gadget_2_Cooldown,Super Charge per Hit (%),Hypercharge per Hit (%),Gadget 1 Cooldown,Gadget 2 Cooldown,Super duration,StarPower_1_Name,StarPower_2_Name
Chester,Legendary,Damage Dealer,Kai Skrotzki,770 (Fast)955 (with Hypercharge)1020 (with Candy Beans)1205 (with Candy Beans and Hypercharge),8.33 (Long),1.9 seconds (Normal)0.475 seconds (with Candy Beans),15° (second sequence)30° (third sequence)45° (fourth sequence),6.33 (Normal),N/A,800,1 (first sequence)2 (second sequence)3 (third sequence)4 (fourth sequence),0.67 (first sequence),3300,,7000,Surge,Cordelius,Spicy Dice,12 seconds,Candy Beans,15 seconds,16%,4%,12 seconds,15 seconds,,,
Chuck,Mythic,Controller,Nicola Lanci,770 (Fast)970 (with Hypercharge)3700 (with Super),6.67 (Normal),2 seconds (Slow),N/A,10 (post; Very Long)6.67 (dash; Normal),N/A,1500,3,1.33,1750,,9000,Doug,Charlie,Rerouting,10 seconds,Ghost Train,17 seconds,13.5–6.75% (close to max range),2.7–1.35% (close to max range),10 seconds,17 seconds,,,
Clancy,Mythic,Damage Dealer,Oscar Conlon-Morrey,720 (Normal)820 (Stage 3; Very Fast)900 (with Hypercharge)1000 (Stage 3; with Hypercharge)3000 (with Tactical Retreat),7.67 (Long),2 seconds (Slow),83° (Stage 3),5.67 (Normal)8.33 (Stage 2+; Long),16,3000,1 (Stage 1)2 (Stage 2)4 (Stage 3),1 (Stage 1 and 2),3500,,6600,Lily,Moe,Snappy Shooting,15 seconds,Tactical Retreat,16 seconds,12.75% (Stage 1),3.825% (Stage 1),15 seconds,16 seconds,,,
Colette,Epic,Damage Dealer,Katie Snyder,720 (Normal)907 (with Hypercharge)4000 (with Super),8.67 (Long),1.6 seconds (Normal),N/A,11 (Very Long),N/A,N/A,,1,4000,,6800,Gale,Belle,Na-ah!,10 seconds,Gotcha!,17 seconds,25%,7.5%,10 seconds,17 seconds,,,
Colt,Rare,Damage Dealer,Billy Kametz,720 (Normal)820 (with Slick Boots)907 (with Hypercharge)1007 (with Slick Boots and Hypercharge),9 (Long)10 (with Magnum Special),1.4 seconds (Fast)1.19 seconds (with Reload Gear),N/A,11 (Very Long),12,4891,61 (with Silver Bullet),0.67,40004440 (with Magnum Special),,5600,Nita,Bull,Speedloader,11 seconds,Silver Bullet,14 seconds,8.37%,2.9295%,11 seconds,14 seconds,,,
Cordelius,Legendary,Assassin,Nicholas Contreras,820 (Very Fast)  984 (with Super)  1017 (with Hypercharge)  1181 (with Super and Hypercharge),5.33 (Normal),1.2 seconds (Very Fast)0.92 seconds (with Super),N/A,9 (Long),N/A,3800,21 (with Poison Mushroom),0.671.33 (with Poison Mushroom),3800,,6800,Chester,Kit,Replanting,18 seconds,Poison Mushroom,18 seconds,18%,4.5%,18 seconds,18s,8 seconds,Mushroom Kingdom,
Crow,Legendary,Assassin,John Cipriani,820 (Very Fast)1017 (with Hypercharge)0–2600 (with Super),8.67 (Long),1.4 seconds (Fast),22.5°,8.67 (Long),28,3261,3,,3261,,5600,Spike,Leon,Defense Booster,15 seconds,Slowing Toxin,18 seconds,7.12%,3.916%,15 seconds,18 seconds,,,
Darryl,Super Rare,Tank,Martin Schjøler,770 (Fast)963 (with Hypercharge)2400 (with Super),6 (Normal),1.8 seconds (Normal)0.9 seconds (with Rolling Reload),40°,7 (Long),N/A,N/A,10,,4000,,10600,Rico,Penny,Recoiling Rotator,12 seconds,Tar Barrel,15 seconds,5.1%,N/A,12 seconds,15 seconds,,,
Doug,Mythic,Support,Austen Moret,770 (Fast)963 (with Hypercharge),3.33 (Short),1.5 seconds (Normal),360°,9.33 (Very Long),N/A,4500,,,,,10000,Willow,Chuck,Double Sausage,15 seconds,Extra Mustard,15 seconds,21%,10.5%,15 seconds,15s,5 seconds,Self Service,
Draco,Legendary,Tank,Matthew Curtis,720 (Normal)900 (with Hypercharge)864 (alternate)1080 (alternate; with Hypercharge),4 (Normal),1 second (Very Fast),N/A,5.67 (Normal)9 (with Hypercharge),48 (with Hypercharge),3500,,1.33,3800,,11000,Kit,Kenji,Upper Cut,11 seconds,Last Stand,22 seconds,17.5–35% (close to max range),4.375%–8.75% (close to max range),11 seconds,22 seconds,10 seconds,,
Dynamike,Super Rare,Artillery,Jas Patrick,770 (Fast)920 (with Fidget Spinner)963 (with Hypercharge)1113 (with Fidget Spinner and Hypercharge),7.33 (Long),1.6 seconds (Normal),N/A,7.33 (Long),N/A,1600,2,,1900,2.67,5600,Jessie,Tick,Fidget Spinner,12 seconds,Satchel Charge,23 seconds,25%,7.5%,12 seconds,23 seconds,,Demolition,
Edgar,Epic,Assassin,David Autovino,820 (Very Fast)0–2333 (with Super)1020 (after Super)1017 (with Hypercharge)1217 (after Super with Hypercharge),2 (Short),0.7 seconds (Very Fast)0.35 seconds (with Hypercharge),N/A,6.67 (Normal),N/A,N/A,2,2,3500,,6600,Nani,Griff,Let's Fly,21 seconds,Hardcore,17 seconds,8.37%,3.348%,21 seconds,17 seconds,,Hard Landing,
El Primo,Rare,Tank,"Alejandro ""Alex"" Sanchez",770 (Fast)963 (with Hypercharge)970 (with Meteor Rush)1163 (with Meteor Rush and Hypercharge)1600 (with Super),3 (Short),0.8 seconds (Very Fast),N/A,9 (Long),N/A,N/A,4,1.33,3261,,12600,Brock,Barley,Suplex Supplement,14 seconds,Asteroid Belt,13 seconds,8.455%,2.5365%,14 seconds,13 seconds,,El Fuego,
Emz,Epic,Controller,Sandra Espinoza,720 (Normal)907 (with Hypercharge),6.67 (Normal),2 seconds (Slow),40°,5.67 (Normal),N/A,N/A,,,1500,,7200,Bo,Stu,Friendzoner,18 seconds,Acid Spray,11 seconds,12.6%,5.04%,18 seconds,11 seconds,5 seconds,Hype,
Eve,Mythic,Damage Dealer,Beth Curry,720 (Normal)900 (with Hypercharge),9.33 (Very Long),1.6 seconds (Normal)  1.36 seconds (with Reload Gear),N/A,5,N/A,N/A,3,0.67 (small egg)1 (medium egg)1.33 (large egg),3500,2.67,5800,Fang,Janet,Gotta Go!,17 seconds,Motherly Love,11 seconds,12%,4.8%,17 seconds,11 seconds,,,
Fang,Mythic,Assassin,Nicholas Contreras,770 (Fast)963 (with Hypercharge)4000 (with Super),2.67 (Short)9.33 (Shoe; Very Long),1 second (Very Fast),N/A,10 (Very Long),N/A,N/A,,20.67 (Shoe),32004500 (Shoe; Very Long),,8600,Buzz,Eve,Corn-Fu,15 seconds,Roundhouse Kick,15 seconds,25.5%,5.1%,15 seconds,15s,,Divine Soles,
Finx,Mythic,Controller,Mohamed Sameh,770 (Fast),8.33 (middle; Long),1.3 seconds (Very Fast),N/A,7.33 (Long),N/A,20002600 (with Super),3,0.67 (main projectile)0.4 (side projectiles),30003900 (with Super),,7200,Ollie,Lumi,Back to the Finxture,18 seconds,No Escape,17 seconds,11.25%,N/A,18 seconds,17 seconds,7 seconds,,
Frank,Epic,Tank,Martin Schjøler,770 (Fast)970 (with Hypercharge),6 (Normal),0.8 seconds (Very Fast),65°,7 (Long)  6.33 (with Hypercharge; Normal),N/A,6000,,,5000,,13400,Pam,Bibi,Active Noise Canceling,18 seconds,Irresistible Attraction,15 seconds,34.8%,10.44%,18 seconds,15 seconds,,Sponge,
Gale,Epic,Controller,Dean Compoginis,720 (Normal)907 (with Hypercharge),8.33 (Long),1.2 seconds (Very Fast),N/A,10 (Very Long),12 (with Hypercharge),5000,6,2,3000,,7600,Bonnie,Colette,Spring Ejector,20 seconds,Twister,21 seconds,5.6%,1.4%,20 seconds,21 seconds,,,
Gene,Mythic,Controller,Martin Schjøler,720 (Normal)907 (with Hypercharge),5.67 (close range; Normal)11.33 (max range; Very long),2 seconds (Slow),80° (max range),7.67 (Long)8.67 (with Talk to the Hand Gear),13 (with Hypercharge),3200 (launched)2000 (grabbed)3200 (grabbed; with Hypercharge),1 (close range)6 (max range),1 (close range),3200,,7200,Tara,Max,Lamp Blowout,20 seconds,Vengeful Spirits,20 seconds,25% (close range),8.75% (close range),20 seconds,20s,,Magic Puffs,Spirit Slap
Gray,Mythic,Support,N/A,720 (Normal)864 (with Hypercharge),9 (Long),1.4 seconds (Fast),N/A,6.67 (Normal),N/A,N/A,,0.331.33 (with Walking Cane),38043200 (with Walking Cane; launched)2000 (with Walking Cane; hooked),,6600,Buster,R-T,Walking Cane,23 seconds,Grand Piano,14 seconds,29%,11.6%,23 seconds,14 seconds,,New Perspective,
Griff,Epic,Controller,Roger Addis,720 (Normal)900 (with Hypercharge),8.33 (Long),1.7 seconds (Normal)1.445 seconds (with Reload Gear),15°,9 (Long),510 (return; with Hypercharge),32003000 (return),9  12 (with Coin Shower),,3100,,6800,Edgar,Grom,Piggy Bank,16 seconds,Coin Shower,11 seconds,7%,2.1%,16 seconds,11 seconds,,,
Grom,Epic,Artillery,Gordon GibsonMartin Schjøler (walkie-talkie),720 (Normal)893 (with Hypercharge)830 (With Foot Patrol; Very Fast)1003 (with Foot Patrol and Hypercharge),7.67 (Long)11 (Walkie-Talkie shells),2 seconds (Slow),N/A,8.33 (Long)14 (Walkie-Talkie shells),48 (with Hypercharge),8003000 (split),412 (with Radio Check),0.83,8403000 (split),,5600,Griff,Bonnie,Watchtower,20 seconds,Radiocheck,15 seconds,22%,8.8%,20 seconds,15 seconds,,,
Gus,Super Rare,Support,Patrick Pedraza,720 (Normal)900 (with Hypercharge),9.33 (Very Long),1.5 seconds (Normal),N/A,9.33 (Very Long),1,3600,1,1,4000,,6400,Jacky,Bo,Kooky Popper,16 seconds,Soul Switcher,10 seconds,25.38%,8.883%,16 seconds,10 seconds,,,
Hank,Epic,Tank,Austen Moret,720 (Normal)792 (with It's Gonna Blow)893 (with Hypercharge)965 (with It's Gonna Blow and Hypercharge),3.33 (min. range) 4.67 (max. range),0.25 seconds (Very Fast),N/A,20 (Very Long),6,4000,,,,,10400,Maisie,Pearl,Water Balloons,11 seconds,Barricade,18 seconds,6.5625%–26.25% (min to max range),2.625%–10.5% (min to max range),11 seconds,18 seconds,,,
Jacky,Super Rare,Tank,Sandra Espinoza,770 (Fast)963 (with Hypercharge)965 (with Pneumatic Booster)1158 (with Pneumatic Booster and Hypercharge),3.33 (Short),1.8 seconds (Normal),360°,5 (Normal),N/A,N/A,,,,,9400,Carl,Gus,Pneumatic Booster,15 seconds,Rebuild,11 seconds,25.42%,10.168%,15 seconds,11 seconds,1 second,,
Janet,Mythic,Marksman,Sam Slade,720 (Normal)900 (with Hypercharge)1400 (with Super)1750 (with Hypercharged Super),4 (min range; Normal)8.33 (max range; Long),1.5 seconds (Normal),80° (min range)15° (max range),2.67 (Short),7,1500,,,3500,,6400,Eve,Otis,Drop The Bass,20 seconds,Backstage Pass,16 seconds,17.5%,7%,20 seconds,16 seconds,6 seconds,,
Jessie,Super Rare,Controller,Maya Aoki Tuttle,720 (Normal)907 (with Hypercharge),9 (Long),1.8 seconds (Normal),N/A,5,N/A,11963478 (Scrappy)2000 (Scrappy; with Shocky),,1,28701522 (bounce),9,6200,Rosa,Dynamike,Spark Plug,15 seconds,Recoil Spring,11 seconds,16.695%,10.017%,15 seconds,11 seconds,,Energize,
Juju,Mythic,Artillery,Nneka Okoye,720 (Normal)1008 (on water; with Elementalist),6.33 (Normal)9 (in bushes; Long)9 (with Voodoo Chile; Long),1.6 seconds (Normal)2 seconds (while Voodoo Chile is active),N/A,5 (Normal),N/A,11962500 (Gris-Gris),,,1750,6.67,6000,Moe,Ollie,Voodoo Chile,14 seconds,Elementalist,17 seconds,13%,N/A,14 seconds,17 seconds,,Guarded Gris-Gris,
Kenji,Legendary,Assassin,Shogo Miyakita,820 (Very Fast)1025 (with Hypercharge)2700 (with attack)8000 (with Super),2.67 (dash; Short)3.67 (slash; Short),1 second (Very Fast),150° (slash),7.33 (Long),2,1000,,,,,7600,Draco,Kaze,Dashi Dash,15 seconds,Hosomaki Healing,17 seconds,21.5625% (dash),5.390625% (dash),15 seconds,17 seconds,,,
Kit,Legendary,Support,Chris Nichter,820 (Very Fast)1025 (with Hypercharge)0–4000 (with Super; jumping)2000 (with Super; detaching),3.67 (Short) 7.33 (attached; Long)10 (attached; with Hypercharge),0.8 seconds (Very Fast)2 seconds (attached; Slow),75°,"6.67 (jumping; Normal)2 (detaching, Short)",N/A,N/A,,,1900 (attached),,6000,Cordelius,Draco,Cardboard Box,20 seconds,Cheeseburger,15 seconds,25%,12.5%,20 seconds,15 seconds,2 seconds (on enemies) 10 seconds (on allies)15 seconds (on allies with Overly Attached),,
Larry & Lawrie,Epic,Artillery,Martin Schjøler,770 (Fast)3000 (with Order: Fall Back),7.33 (Long)6.67 (with Order: Swap),2.2 seconds (Very Slow)1.8 seconds (with Order: Swap),25° (with Order: Swap; first wave)41.7° (with Order: Swap; second wave),5,8,34002000 (with Order: Swap),,,20003400 (with Order: Swap),6.67 (Normal)7.33 (with Order: Swap),5600,Pearl,Angelo,Order: Swap,12 seconds,Order: Fall Back,17 seconds,12.6%,N/A,12 seconds,17 seconds,,,
Leon,Legendary,Assassin,Thomas Hagena,820 (Very Fast)1017 (with Hypercharge)1070 (with Smoke Trails)1267 (with Smoke Trails and Hypercharge),9.67 (Very Long),1.9 seconds (Normal),17.5°,N/A,N/A,N/A,4,,3500,,6800,Crow,Sandy,Clone Projector,13 seconds,Lollipop Drop,20 seconds,12.6–3.78% (close to max range),3.78%–1.134% (close to max range),13 seconds,20 seconds,6 seconds8 seconds (with Lingering Smoke Gear),Invisiheal,
Lily,Mythic,Assassin,N/A,820 (Very Fast)1017 (with Hypercharge)943 (with Vigilance)1140 (with Vigilance and Hypercharge),2 (Short),0.8 seconds (Very Fast),N/A,9 (Long),N/A,38002000 (with Repot)5600 (with Hypercharge),,2,3500,,8200,Melodie,Clancy,Vanish,22 seconds,Repot,10 seconds,26.5%,7.95%,22 seconds,10 seconds,,Spiky,
Lola,Epic,Damage Dealer,Alejandra Gollas,720 (Normal)893 (with Hypercharge),9 (Long),1.7 seconds (Normal)1.445 seconds (with Reload Gear),15°,5 (Normal),N/A,N/A,6,,4500,9,7600,Ash,Sam,Freeze Frame,11 seconds,Stunt Double,17 seconds,7%,2.45%,11 seconds,17 seconds,,Sealed With a Kiss,
Lou,Mythic,Controller,John Mondelli,720 (Normal)907 (with Hypercharge),9.33 (Very Long),1.1 seconds (Very Fast),N/A,7.67 (Long),N/A,1739,3,0.33,4000,3.67,6400,Squeak,Ruffs,Ice Block,18 seconds,Cryo Syrup,18 seconds,11.5%,3.45%,18 seconds,18s,10 seconds,,
Lumi,Mythic,Damage Dealer,Tuuli Paju,720 (Normal)907 (with Hypercharge),8 (Long),N/A,N/A,7.33 (Long),35 (with Hypercharge),29000,,1.13,3400 (while throwing the maces)4000 (while retrieving the maces),,5200,Finx,Jae-yong,Hit the Lights,14 seconds,Grim and Frostbitten,23 seconds,10.35% (while throwing the maces),4.14% (while throwing the maces),14 seconds,23 seconds,,42% Burnt,
Maisie,Epic,Marksman,Simone Annan,720 (Normal)907 (with Hypercharge)3000 (with Disengage!),8.67 (Long),1.5 seconds (Normal),N/A,3.33 (Short),N/A,N/A,,0.67,3000-5000,,7200,Mandy,Hank,Disengage!,16 seconds,Finish Them!,10 seconds,26.25%,10.5%,16 seconds,10 seconds,,,
Mandy,Epic,Marksman,Nola Klop,720 (Normal)893 (with Hypercharge),9 (Long) 12 (Focused),1.5 seconds (Normal),N/A,40 (Very Long),13 (with Hypercharge),5000,,0.67,38004400 (with In My Sights),,5600,Sam,Maisie,Caramelize,13 seconds,Cookie Crumbs,16 seconds,26%,9.1%,13 seconds,16 seconds,3 seconds,,
Max,Mythic,Support,Sandra Osborne,820 (Very Fast)1017 (with Hypercharge)1120 (with Super)1317 (with Super and Hypercharge)2400 (with Phase Shifter),8.33 (Long),1.3 seconds (Very Fast)1.1 seconds (with Run n' Gun),15°,4,N/A,N/A,4,,4000,,6600,Gene,Mr. P,Phase Shifter,15 seconds,Sneaky Sneakers,10 seconds,7.36%,2.576%,15 seconds,10 seconds,4 seconds,,
Meeple,Epic,Controller,André Refig,720 (Normal),7.67 (Long),1.7 seconds (Normal) 1.36 seconds (with Rule Bending)2 seconds (while Mansions of Meeple is active)1.6 seconds (with Rule Bending and while Mansions of Meeple is active),N/A,5 (Normal),N/A,1196,,0.67,30001600 (with Mansions of Meeple),,6400,Shade,Trunk,Mansions of Meeple,22 seconds,Ragequit,18 seconds,22.05%,N/A,22 seconds,18 seconds,10 seconds,Do Not Pass Go,
Meg,Legendary,Tank,Sheila Morris,820 (Very Fast)1017 (with Hypercharge)720 (Mecha; Normal)893 (Mecha; with Hypercharge),9 (Long)7.33 (Mecha; Long),1.3 seconds (Very Fast)0.845 seconds (with Toolbox)1.1 seconds (Mecha; Very Fast)0.715 seconds (Mecha; with Toolbox),10° (Mecha),4.33 (Mecha)6.67 (Mecha; with Hypercharge),N/A,N/A,216 (Mecha),12 (Mecha),40004500 (Mecha),,4600,Amber,Surge,Jolting Volts,17 seconds,Toolbox,19 seconds,13.5%,4.725%,17 seconds,19 seconds,,Heavy Metal,
Melodie,Mythic,Assassin,Lisa Kelley,"720 (Normal)763 (with Fast Beats and one monster note)806 (with Fast Beats and two monster notes)850 (with Fast Beats and three monster notes)893 (with Fast Beats and four monster notes)893 (with Hypercharge)936 (with Fast Beats and five monster notes)936 (with Hypercharge, Fast Beats and one monster note)979 (with Fast Beats and six monster notes)979 (with Hypercharge, Fast Beats and two monster notes)1023 (with Hypercharge, Fast Beats, and three monster notes)1066 (with Hypercharge, Fast Beats, and four monster notes)1109 (with Hypercharge, Fast Beats, and five monster notes)1152 (with Hypercharge, Fast Beats, and six monster notes)3700 (with Super)",8 (Long)2.17 (monster notes)3.47 (monster notes; with Perfect Pitch),1.5 seconds (Normal),360° (monster notes),5.33 (Normal),N/A,N/A,,0.83,4500860 (monster notes)1076 (monster notes; with Perfect Pitch),,7200,Mico,Lily,Perfect Pitch,14 seconds,Interlude,19 seconds,20.7%,5.175%,14 seconds,19 seconds,,,
Mico,Mythic,Assassin,Allen EnlowLin Qiang (Wukong Mico),820 (Very Fast)0–2080 (with attack)0–2773 (with attack and Presto)1025 (with Super)1017 (with Hypercharge),4 (Normal)5.33 (with Presto),2.4 seconds (Very Slow),N/A,N/A,N/A,N/A,,,,,6600,Charlie,Melodie,Clipping Scream,15 seconds,Presto,14 seconds,21.66%,10.83%,15 seconds,14 seconds,6 seconds,,
Moe,Mythic,Damage Dealer,Hamish Lloyd Barnes,770 (Fast)963 (with Hypercharge)2500 (with Super)5000 (with Hypercharged Super)900 (Driller; Very Fast)1100 (Driller; while attacking)1100 (Driller; with Speeding Ticket)1300 (Driller; while attacking with Speeding Ticket)1625 (Driller; while attacking with Speeding Ticket and with Hypercharge)2000 (with Rat Race),5 (first rock; Normal)7.67 (second rock; Long)1.67 (Driller; Short)3.33 (Driller; with Hypercharge),1.5 seconds (Normal)0.22 seconds (Very Fast; Driller),N/A,7.33 (Long)10.67 (with Hypercharge),N/A,N/A,4 (split)8 (second split)12 (with Skipping Stones),1 (rocks)0.67 (stones)1.33 (Driller),28003500 (Driller),,6800,Clancy,Juju,Dodgy Digging,13 seconds,Rat Race,16 seconds,10%,3%,13 seconds,16 seconds,5 seconds15 seconds (with Hypercharge),,
Mortis,Mythic,Assassin,Ed Mace,820 (Very Fast)1017 (with Hypercharge)2700 (dash),2.67 (Short)4.67 (with dash bar charged),2.4 seconds (Very Slow)1.2 seconds (with Survival Shovel),N/A,10 (Very Long),12 (with Hypercharge),27183500 (with Hypercharge)4077 (with Bat Storm Gear)5250 (with Hypercharge and Bat Storm Gear),,,,,7600,Trunk,Tara,Combo Spinner,,,,21.25%,6.375%,4.5s,4s,,,
